genre,best_C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
country,0.1,0.595,0.33398890381649,0.5305515239477504,0.4088489503921206,0.6026901375621053
minimal-techno,0.01,0.594,0.34473930181664775,0.5613556953179595,0.42662432393075517,0.5917629462399244
party,100.0,0.592,0.31696629635579976,0.5038461538461538,0.3881718821311142,0.5569403297813286
j-pop,0.1,0.592,0.3542962774617529,0.6834087481146305,0.4656392345827305,0.6693744256342954
sad,10.0,0.592,0.37580138624399695,0.5487005649717515,0.44563428701043,0.6078703741864578
indie-pop,1.0,0.592,0.3313034009080055,0.5794117647058823,0.42087661897636763,0.6288595733818789
tango,0.001,0.591,0.3555302348816051,0.5664935064935065,0.4356360860828746,0.6180027413917499
alternative,0.01,0.589,0.33778340187704314,0.6119155354449473,0.434534307480592,0.5913848820653993
british,0.001,0.588,0.35291447514630503,0.7443137254901961,0.4784633160141687,0.6623146098170812
heavy-metal,0.1,0.587,0.32635617901663794,0.6093333333333334,0.424958411293815,0.6220733938676142
samba,0.001,0.5860000000000001,0.34934135856613663,0.5483082706766916,0.4256709140354036,0.5917267080507213
progressive-house,1.0,0.5860000000000001,0.34600104005412835,0.5672727272727272,0.4295392255090273,0.6096426332288402
alt-rock,0.1,0.586,0.3260604162323233,0.6053333333333334,0.4226128631257244,0.6097579786814055
punk-rock,10.0,0.585,0.3332491254064288,0.5679970972423802,0.4191471083649028,0.5917373493350583
punk,10.0,0.584,0.32073566268612713,0.5880000000000001,0.41454208088414546,0.6078133333333333
idm,0.1,0.584,0.31969107833534494,0.5518853695324284,0.4046278158097058,0.6020722136543297
happy,0.1,0.5810000000000001,0.3473617577391162,0.6901960784313725,0.4593325397011306,0.6309382813528096
hip-hop,10.0,0.581,0.3365015660667835,0.48984962406015037,0.3980210290072792,0.5675123944038417
goth,0.01,0.5800000000000001,0.3333983954465882,0.6033381712626996,0.4284124935834502,0.6122129347365196
funk,0.1,0.58,0.32569842403919885,0.5550798258345427,0.41024249876831603,0.6239327302332693
grindcore,0.1,0.5780000000000001,0.3377996409429258,0.5229323308270677,0.41030204531011194,0.5529738353751512
malay,10.0,0.576,0.3323666390906027,0.5645791245791245,0.41809043617446984,0.5877861133775163
pop-film,1.0,0.575,0.3301690395860998,0.6031204644412191,0.42639241896481694,0.5961828874059332
psych-rock,0.01,0.574,0.33151560036511496,0.5962264150943396,0.42519130325523413,0.5902194840200231
