genre,best_C,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc
minimal-techno,0.1,0.593,0.34799260788829456,0.5837176799440951,0.43546973578053044,0.6029534234072136
deep-house,1.0,0.53,0.31933037934860165,0.6884615384615385,0.43528210675341555,0.5980372313087947
alternative,0.01,0.589,0.33778340187704314,0.6119155354449473,0.434534307480592,0.5913848820653993
progressive-house,1.0,0.5860000000000001,0.34600104005412835,0.5672727272727272,0.4295392255090273,0.6096426332288402
gospel,10.0,0.582,0.3463810903945758,0.5629220779220778,0.4285520757142969,0.6051688684878339
chill,0.01,0.5630000000000001,0.34011030302786044,0.5815162907268171,0.4284403210875287,0.5972828980230296
goth,0.01,0.5800000000000001,0.3333983954465882,0.6033381712626996,0.4284124935834502,0.6122129347365196
indian,0.1,0.562,0.3260952765803335,0.6246734397677793,0.42799280527921446,0.6012805302562715
afrobeat,0.001,0.55,0.3229518026263517,0.6313067784765897,0.42690102921009593,0.5851232454729113
pop-film,1.0,0.575,0.3301690395860998,0.6031204644412191,0.42639241896481694,0.5961828874059332
emo,1.0,0.6040000000000001,0.3453333060063516,0.5634252539912918,0.4263365535041951,0.6179249402463689
dubstep,10.0,0.544,0.3295233212884179,0.6011278195488722,0.4252329490189222,0.5852476699104988
psych-rock,0.01,0.574,0.33151560036511496,0.5962264150943396,0.42519130325523413,0.5902194840200231
heavy-metal,0.1,0.587,0.32635617901663794,0.6093333333333334,0.424958411293815,0.6220733938676142
kids,0.001,0.61,0.35173707773707774,0.5357791754018169,0.4237858305372363,0.5903336441552296
alt-rock,0.1,0.586,0.3260604162323233,0.6053333333333334,0.4226128631257244,0.6097579786814055
dance,0.01,0.607,0.343578173563363,0.5529411764705883,0.42112023611975546,0.5995130938281352
indie-pop,1.0,0.592,0.3313034009080055,0.5794117647058823,0.42087661897636763,0.6288595733818789
punk-rock,10.0,0.585,0.3332491254064288,0.5679970972423802,0.4191471083649028,0.5917373493350583
malay,10.0,0.576,0.3323666390906027,0.5645791245791245,0.41809043617446984,0.5877861133775163
r-n-b,10.0,0.539,0.35095483285490997,0.51875,0.4178286495390994,0.5479434742647058
anime,0.001,0.526,0.3009981116432192,0.6734117647058824,0.4159985185143359,0.570161921305435
punk,10.0,0.584,0.32073566268612713,0.5880000000000001,0.41454208088414546,0.6078133333333333
bluegrass,0.001,0.517,0.31271127289456324,0.6153246753246753,0.4134655639358386,0.5707338175473952
turkish,0.001,0.561,0.3311919319699206,0.5530701754385964,0.41332464157300947,0.569168003049582
mpb,1.0,0.5109999999999999,0.33199258749404353,0.5460317460317461,0.4128062167290768,0.5310161047387325
ambient,100.0,0.568,0.32797767114464266,0.5529292929292929,0.41082415994914906,0.5708925612605349
grindcore,0.1,0.5780000000000001,0.3377996409429258,0.5229323308270677,0.41030204531011194,0.5529738353751512
funk,0.1,0.58,0.32569842403919885,0.5550798258345427,0.41024249876831603,0.6239327302332693
party,0.01,0.591,0.32628029375765,0.5547511312217194,0.4100265269547362,0.5681845088354168
detroit-techno,0.1,0.592,0.32504522347659603,0.5568627450980392,0.4100055257042138,0.6049217002237137
edm,10.0,0.5690000000000001,0.3235220790330978,0.5619846261355695,0.40999869976597436,0.5796411120664342
country,0.01,0.589,0.3323985998169475,0.5342525399129172,0.4090792356265502,0.5914096366589628
hip-hop,0.01,0.573,0.33721360164602554,0.5214912280701754,0.4088741404429955,0.5816326582773951
trip-hop,0.01,0.524,0.31094771622809003,0.5907142857142857,0.40680250878626756,0.5527766877519034
electronic,0.01,0.5609999999999999,0.3199250098813966,0.5555555555555556,0.40598278709076396,0.5615677321156772
idm,1.0,0.583,0.319816764100151,0.5558823529411765,0.4059112765458767,0.6023127359191315
pop,1.0,0.545,0.3211851640423069,0.549812030075188,0.4050878477245939,0.5715139027639028
chicago-house,1.0,0.571,0.3164878723476642,0.5615384615384615,0.4046487775914834,0.5932302494802495
german,0.001,0.508,0.2981344036333101,0.6277428371767994,0.40411833642283757,0.5587230279952652
power-pop,0.1,0.5469999999999999,0.30888004277042497,0.5660377358490566,0.39695463842865514,0.5747657553587472
dancehall,0.01,0.5279999999999999,0.29616338712810225,0.598868778280543,0.3958932702384385,0.5743319796838352
grunge,1.0,0.554,0.31014765827730645,0.5487071977638014,0.3956772843073822,0.5754984872097083
house,10.0,0.546,0.3039970849545318,0.5632801161103048,0.39355148025303965,0.5780322032512059
rock-n-roll,1.0,0.546,0.30025160407117796,0.5615384615384615,0.39087255552553907,0.5722193347193347
synth-pop,0.1,0.548,0.29321037837915376,0.5733333333333334,0.3874006743681869,0.5573237162784577
reggaeton,0.01,0.55,0.29547378355214793,0.5640000000000001,0.38692316210504274,0.5737866666666667
brazil,10.0,0.558,0.29912796315020784,0.530844645550528,0.3824569393693319,0.5346847120435749
electro,10.0,0.542,0.300247108161507,0.5276729559748428,0.38236804289839743,0.5346368023674822
latino,10.0,0.5690000000000001,0.29802560237433096,0.532,0.3818510331276289,0.57352
songwriter,0.001,0.489,0.2758599599643238,0.6196078431372549,0.38169370895329385,0.5349256481115936
metal,0.1,0.505,0.2937670056208607,0.5405388471177945,0.3797849786255737,0.5189836159819712
singer-songwriter,0.01,0.515,0.28123364701334996,0.5764705882352941,0.37779226442866676,0.5314120278984077
ska,0.01,0.517,0.29348212172660393,0.5255844155844156,0.37631042350159044,0.5027937129919888
honky-tonk,0.1,0.516,0.2822924775118689,0.5478229317851959,0.37204578306037267,0.5422936361615607
forro,1.0,0.49799999999999994,0.29173486232350604,0.5125657510227937,0.37128838093633576,0.5031871954292709
pagode,0.01,0.534,0.27996769217444434,0.5392941176470589,0.368184027770015,0.5628329253849189
sertanejo,0.001,0.527,0.2885770264689764,0.49818181818181817,0.3649044393163362,0.5355611285266457
j-idol,10.0,0.519,0.2692520907001172,0.5021870286576169,0.35043791022364296,0.5145053416865497
salsa,0.001,0.503,0.2523378867885267,0.4899607843137255,0.3317879866362944,0.5157219213054349
