genre,best_C,best_threshold,cv_f1,roc_auc
acoustic,0.01,0.4556605629142268,0.47477744807121663,0.5909017298490983
romance,1.0,0.45101543511400943,0.47374847374847373,0.6447188542396811
show-tunes,10.0,0.5038110761183738,0.47115384615384615,0.6693175865517407
industrial,10.0,0.5432289247753143,0.4688995215311005,0.6710883944048472
world-music,0.01,0.4126710017126938,0.46855059252506837,0.603426993915306
samba,1.0,0.4266065064616832,0.46782431052093976,0.6040863397660847
pop,1.0,0.36217644685610406,0.46648793565683644,0.5677364230822419
disco,10.0,0.5299845971215517,0.46557377049180326,0.6742291613615143
chill,0.01,0.4273742189233083,0.4650735294117647,0.5974214227859105
study,1.0,0.3860872290650788,0.4633663366336634,0.6209893455098935
club,0.1,0.4679488699398015,0.4630541871921182,0.6311810359025033
tango,1.0,0.4536356280463604,0.46236559139784944,0.61024115252114
indie,10.0,0.5168585210552001,0.4622792937399679,0.6605731225296442
gospel,10.0,0.45414643987964537,0.4617067833698031,0.603000611456609
hardstyle,0.1,0.4983705740979984,0.4592391304347826,0.6584045121523323
rock,1.0,0.47688515773912526,0.45919778699861685,0.6688693333333333
dub,100.0,0.46286490528211766,0.4590909090909091,0.6135848978919631
happy,0.1,0.4957534982690505,0.45897435897435895,0.6284326885116462
funk,0.1,0.44081203353780424,0.4581497797356828,0.6231433568417848
dubstep,10.0,0.41855646148344305,0.4580584354382658,0.5824667514687758
bluegrass,0.001,0.48027266720382694,0.4566929133858268,0.5651343191374878
reggae,0.01,0.4835676352814115,0.45667125171939477,0.6220146680875072
indie-pop,1.0,0.40870028792411545,0.45588235294117646,0.6255191122329813
death-metal,10.0,0.4711069118813247,0.4544287548138639,0.6315337442589984
deep-house,1.0,0.41702169954809415,0.45391476709613476,0.5973683260159623
forro,1.0,0.34735925453701105,0.4527402700555997,0.5007197592078287
hip-hop,0.01,0.46142987926592155,0.451271186440678,0.5781385238807144
progressive-house,1.0,0.3985409727790124,0.4507317073170732,0.6070946708463949
minimal-techno,0.1,0.4628867224555272,0.44815256257449343,0.6000996750390309
techno,0.01,0.49157879109426605,0.4464993394980185,0.6242737821685189
black-metal,10.0,0.43376719605347513,0.4449489216799092,0.6310664752696797
emo,1.0,0.4373495627667076,0.44493882091212456,0.6157098491800559
indian,0.1,0.47851699744635,0.44471445929526127,0.6013251831459101
malay,10.0,0.3573503576776801,0.443859649122807,0.5868651896395508
metal,0.1,0.3751523237200253,0.44282238442822386,0.5183159119022626
pop-film,1.0,0.41303007111944057,0.44263959390862945,0.5932218291648566
sertanejo,0.001,0.4820663979554795,0.44197952218430037,0.5304652037617554
trip-hop,0.01,0.40170248682644355,0.44149377593360994,0.5520983465449596
edm,10.0,0.378961433167322,0.44025157232704404,0.5769297586747807
turkish,0.001,0.4388886645671251,0.43993759750390016,0.5600342756672396
grindcore,0.1,0.31336453190281865,0.439873417721519,0.5523785011804652
german,0.001,0.4774541926440639,0.43947858472998136,0.5608059658683494
psych-rock,0.01,0.4884533572277848,0.4394506866416979,0.5896649980747016
alternative,0.01,0.49932691220802616,0.4383561643835616,0.5906647652479157
goth,0.01,0.4306681535601345,0.4382775119617225,0.6090604894598564
detroit-techno,0.1,0.45700115667065033,0.4373522458628842,0.6027056191604159
house,10.0,0.38277620295185355,0.4372177055103884,0.5757102837007495
grunge,1.0,0.42698519558771325,0.43668993020937186,0.573753866956219
heavy-metal,0.1,0.47205747932194203,0.43599493029150826,0.6186735035824659
alt-rock,0.1,0.40004831071225283,0.43584521384928715,0.611168144511407
ska,0.01,0.3791472478268718,0.43539545810493346,0.5033181211263676
opera,0.001,0.5003579434020045,0.43453237410071943,0.6219968077956989
